nFrame,time,TOY.ordinal,TOY.onset,TOY.offset,TOY.code01,LOOKING.ordinal,LOOKING.onset,LOOKING.offset,LOOKING.code01,
187,17392,1,11254,142901,"RING",3,15436,27369,"1",
188,17425,1,11254,142901,"RING",3,15436,27369,"1",
189,17458,1,11254,142901,"RING",3,15436,27369,"1",
190,17491,1,11254,142901,"RING",3,15436,27369,"1",
191,17524,1,11254,142901,"RING",3,15436,27369,"1",
192,17557,1,11254,142901,"RING",3,15436,27369,"1",
193,17590,1,11254,142901,"RING",3,15436,27369,"1",
194,17623,1,11254,142901,"RING",3,15436,27369,"1",
195,17656,1,11254,142901,"RING",3,15436,27369,"1",
196,17689,1,11254,142901,"RING",3,15436,27369,"1",
197,17722,1,11254,142901,"RING",3,15436,27369,"1",
198,17755,1,11254,142901,"RING",3,15436,27369,"1",
199,17788,1,11254,142901,"RING",3,15436,27369,"1",
200,17821,1,11254,142901,"RING",3,15436,27369,"1",
201,17854,1,11254,142901,"RING",3,15436,27369,"1",
202,17887,1,11254,142901,"RING",3,15436,27369,"1",
203,17920,1,11254,142901,"RING",3,15436,27369,"1",
204,17953,1,11254,142901,"RING",3,15436,27369,"1",
205,17986,1,11254,142901,"RING",3,15436,27369,"1",
206,18019,1,11254,142901,"RING",3,15436,27369,"1",
207,18052,1,11254,142901,"RING",3,15436,27369,"1",
208,18085,1,11254,142901,"RING",3,15436,27369,"1",
209,18118,1,11254,142901,"RING",3,15436,27369,"1",
210,18151,1,11254,142901,"RING",3,15436,27369,"1",
211,18184,1,11254,142901,"RING",3,15436,27369,"1",
212,18217,1,11254,142901,"RING",3,15436,27369,"1",
213,18250,1,11254,142901,"RING",3,15436,27369,"1",
214,18283,1,11254,142901,"RING",3,15436,27369,"1",
215,18316,1,11254,142901,"RING",3,15436,27369,"1",
216,18349,1,11254,142901,"RING",3,15436,27369,"1",
217,18382,1,11254,142901,"RING",3,15436,27369,"1",
218,18415,1,11254,142901,"RING",3,15436,27369,"1",
219,18448,1,11254,142901,"RING",3,15436,27369,"1",
220,18481,1,11254,142901,"RING",3,15436,27369,"1",
221,18514,1,11254,142901,"RING",3,15436,27369,"1",
222,18547,1,11254,142901,"RING",3,15436,27369,"1",
223,18580,1,11254,142901,"RING",3,15436,27369,"1",
224,18613,1,11254,142901,"RING",3,15436,27369,"1",
225,18646,1,11254,142901,"RING",3,15436,27369,"1",
226,18679,1,11254,142901,"RING",3,15436,27369,"1",
227,18712,1,11254,142901,"RING",3,15436,27369,"1",
228,18745,1,11254,142901,"RING",3,15436,27369,"1",
229,18778,1,11254,142901,"RING",3,15436,27369,"1",
230,18811,1,11254,142901,"RING",3,15436,27369,"1",
231,18844,1,11254,142901,"RING",3,15436,27369,"1",
232,18877,1,11254,142901,"RING",3,15436,27369,"1",
233,18910,1,11254,142901,"RING",3,15436,27369,"1",
234,18943,1,11254,142901,"RING",3,15436,27369,"1",
235,18976,1,11254,142901,"RING",3,15436,27369,"1",
236,19009,1,11254,142901,"RING",3,15436,27369,"1",
237,19042,1,11254,142901,"RING",3,15436,27369,"1",
238,19075,1,11254,142901,"RING",3,15436,27369,"1",
239,19108,1,11254,142901,"RING",3,15436,27369,"1",
240,19141,1,11254,142901,"RING",3,15436,27369,"1",
241,19174,1,11254,142901,"RING",3,15436,27369,"1",
242,19207,1,11254,142901,"RING",3,15436,27369,"1",
243,19240,1,11254,142901,"RING",3,15436,27369,"1",
244,19273,1,11254,142901,"RING",3,15436,27369,"1",
245,19306,1,11254,142901,"RING",3,15436,27369,"1",
246,19339,1,11254,142901,"RING",3,15436,27369,"1",
247,19372,1,11254,142901,"RING",3,15436,27369,"1",
248,19405,1,11254,142901,"RING",3,15436,27369,"1",
249,19438,1,11254,142901,"RING",3,15436,27369,"1",
250,19471,1,11254,142901,"RING",3,15436,27369,"1",
251,19504,1,11254,142901,"RING",3,15436,27369,"1",
252,19537,1,11254,142901,"RING",3,15436,27369,"1",
253,19570,1,11254,142901,"RING",3,15436,27369,"1",
254,19603,1,11254,142901,"RING",3,15436,27369,"1",
255,19636,1,11254,142901,"RING",3,15436,27369,"1",
256,19669,1,11254,142901,"RING",3,15436,27369,"1",
257,19702,1,11254,142901,"RING",3,15436,27369,"1",
258,19735,1,11254,142901,"RING",3,15436,27369,"1",
259,19768,1,11254,142901,"RING",3,15436,27369,"1",
260,19801,1,11254,142901,"RING",3,15436,27369,"1",
261,19834,1,11254,142901,"RING",3,15436,27369,"1",
