nFrame,time,Paradigm.ordinal,Paradigm.onset,Paradigm.offset,Paradigm.code01,Looking.ordinal,Looking.onset,Looking.offset,Looking.code01,
185,367607,1,360431,485603,"RING STACKER",3,361825,368097,"1",
186,367646,1,360431,485603,"RING STACKER",3,361825,368097,"1",
187,367685,1,360431,485603,"RING STACKER",3,361825,368097,"1",
188,367724,1,360431,485603,"RING STACKER",3,361825,368097,"1",
189,367763,1,360431,485603,"RING STACKER",3,361825,368097,"1",
190,367802,1,360431,485603,"RING STACKER",3,361825,368097,"1",
191,367841,1,360431,485603,"RING STACKER",3,361825,368097,"1",
192,367880,1,360431,485603,"RING STACKER",3,361825,368097,"1",
193,367919,1,360431,485603,"RING STACKER",3,361825,368097,"1",
194,367958,1,360431,485603,"RING STACKER",3,361825,368097,"1",
195,367997,1,360431,485603,"RING STACKER",3,361825,368097,"1",
196,368036,1,360431,485603,"RING STACKER",3,361825,368097,"1",
197,368075,1,360431,485603,"RING STACKER",3,361825,368097,"1",
198,368114,1,360431,485603,"RING STACKER",4,368098,368220,"0",
199,368153,1,360431,485603,"RING STACKER",4,368098,368220,"0",
200,368192,1,360431,485603,"RING STACKER",4,368098,368220,"0",
201,368231,1,360431,485603,"RING STACKER",5,368221,368466,"1",
202,368270,1,360431,485603,"RING STACKER",5,368221,368466,"1",
203,368309,1,360431,485603,"RING STACKER",5,368221,368466,"1",
204,368348,1,360431,485603,"RING STACKER",5,368221,368466,"1",
205,368387,1,360431,485603,"RING STACKER",5,368221,368466,"1",
206,368426,1,360431,485603,"RING STACKER",5,368221,368466,"1",
207,368465,1,360431,485603,"RING STACKER",5,368221,368466,"1",
208,368504,1,360431,485603,"RING STACKER",6,368467,370393,"0",
209,368543,1,360431,485603,"RING STACKER",6,368467,370393,"0",
210,368582,1,360431,485603,"RING STACKER",6,368467,370393,"0",
211,368621,1,360431,485603,"RING STACKER",6,368467,370393,"0",
212,368660,1,360431,485603,"RING STACKER",6,368467,370393,"0",
213,368699,1,360431,485603,"RING STACKER",6,368467,370393,"0",
214,368738,1,360431,485603,"RING STACKER",6,368467,370393,"0",
215,368777,1,360431,485603,"RING STACKER",6,368467,370393,"0",
216,368816,1,360431,485603,"RING STACKER",6,368467,370393,"0",
217,368855,1,360431,485603,"RING STACKER",6,368467,370393,"0",
218,368894,1,360431,485603,"RING STACKER",6,368467,370393,"0",
219,368933,1,360431,485603,"RING STACKER",6,368467,370393,"0",
220,368972,1,360431,485603,"RING STACKER",6,368467,370393,"0",
221,369011,1,360431,485603,"RING STACKER",6,368467,370393,"0",
222,369050,1,360431,485603,"RING STACKER",6,368467,370393,"0",
223,369089,1,360431,485603,"RING STACKER",6,368467,370393,"0",
224,369128,1,360431,485603,"RING STACKER",6,368467,370393,"0",
225,369167,1,360431,485603,"RING STACKER",6,368467,370393,"0",
226,369206,1,360431,485603,"RING STACKER",6,368467,370393,"0",
227,369245,1,360431,485603,"RING STACKER",6,368467,370393,"0",
228,369284,1,360431,485603,"RING STACKER",6,368467,370393,"0",
229,369323,1,360431,485603,"RING STACKER",6,368467,370393,"0",
230,369362,1,360431,485603,"RING STACKER",6,368467,370393,"0",
231,369401,1,360431,485603,"RING STACKER",6,368467,370393,"0",
232,369440,1,360431,485603,"RING STACKER",6,368467,370393,"0",
233,369479,1,360431,485603,"RING STACKER",6,368467,370393,"0",
234,369518,1,360431,485603,"RING STACKER",6,368467,370393,"0",
235,369557,1,360431,485603,"RING STACKER",6,368467,370393,"0",
236,369596,1,360431,485603,"RING STACKER",6,368467,370393,"0",
237,369635,1,360431,485603,"RING STACKER",6,368467,370393,"0",
238,369674,1,360431,485603,"RING STACKER",6,368467,370393,"0",
239,369713,1,360431,485603,"RING STACKER",6,368467,370393,"0",
240,369752,1,360431,485603,"RING STACKER",6,368467,370393,"0",
241,369791,1,360431,485603,"RING STACKER",6,368467,370393,"0",
242,369830,1,360431,485603,"RING STACKER",6,368467,370393,"0",
243,369869,1,360431,485603,"RING STACKER",6,368467,370393,"0",
244,369908,1,360431,485603,"RING STACKER",6,368467,370393,"0",
245,369947,1,360431,485603,"RING STACKER",6,368467,370393,"0",
246,369986,1,360431,485603,"RING STACKER",6,368467,370393,"0",
247,370025,1,360431,485603,"RING STACKER",6,368467,370393,"0",
248,370064,1,360431,485603,"RING STACKER",6,368467,370393,"0",
249,370103,1,360431,485603,"RING STACKER",6,368467,370393,"0",
250,370142,1,360431,485603,"RING STACKER",6,368467,370393,"0",
251,370181,1,360431,485603,"RING STACKER",6,368467,370393,"0",
252,370220,1,360431,485603,"RING STACKER",6,368467,370393,"0",
253,370259,1,360431,485603,"RING STACKER",6,368467,370393,"0",
254,370298,1,360431,485603,"RING STACKER",6,368467,370393,"0",
255,370337,1,360431,485603,"RING STACKER",6,368467,370393,"0",
256,370376,1,360431,485603,"RING STACKER",6,368467,370393,"0",
257,370415,1,360431,485603,"RING STACKER",7,370394,374862,"1",
258,370454,1,360431,485603,"RING STACKER",7,370394,374862,"1",
259,370493,1,360431,485603,"RING STACKER",7,370394,374862,"1",
260,370532,1,360431,485603,"RING STACKER",7,370394,374862,"1",
261,370571,1,360431,485603,"RING STACKER",7,370394,374862,"1",
262,370610,1,360431,485603,"RING STACKER",7,370394,374862,"1",
263,370649,1,360431,485603,"RING STACKER",7,370394,374862,"1",
264,370688,1,360431,485603,"RING STACKER",7,370394,374862,"1",
265,370727,1,360431,485603,"RING STACKER",7,370394,374862,"1",
266,370766,1,360431,485603,"RING STACKER",7,370394,374862,"1",
267,370805,1,360431,485603,"RING STACKER",7,370394,374862,"1",
268,370844,1,360431,485603,"RING STACKER",7,370394,374862,"1",
