source_project,project_id,record_id,rule_R1,rule_R2,rule_R5,rule_R8,rule_R9,tier1_hit_count,tier1_any_hit,tier1_hard_candidate_ge2,tier1_hard_candidate_ge3,tier1_all_5_hits,tier1_rule_combo
dirty_4581,4581,666,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,667,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,679,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,68,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,680,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,703,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,709,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,710,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,715,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,716,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,717,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,719,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,734,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,739,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,74,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,745,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,75,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,755,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,758,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,759,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,762,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,766,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,773,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,775,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,777,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,782,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,783,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,784,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,785,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,786,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,792,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,798,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,811,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,813,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,815,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,819,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,830,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,854,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,862,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,873,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,898,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,899,True,True,False,False,False,2,True,True,False,False,R1+R2
